"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1904910560639983844","Thu Mar 27 01:54:28 +0000 2025","453","@bachrum_achmadi Kenapa utak-atik Hak Rakyat sementara : - Pagar Laut n PIK2 bagaimana - Firli B Yaqut HQ bagaimana - Kasus Judol Kabarnya gimana - Pertamax Oplosan bgaimana - dll kasus yg tdk jelas status hukumnya. Ini yg harus diselesaikan bukan Sita HM rakyat","1905075917665562631","","bachrum_achmadi","in","","0","2","52","https://x.com/ara_sofyan/status/1905075917665562631","1678403678959484929","ara_sofyan"
"1904726308711784702","Thu Mar 27 00:03:35 +0000 2025","0","@DivHumas_Polri Ngeri... Takut Pertamax oplosan ️","1905048013204287546","","DivHumas_Polri","in","","0","0","0","https://x.com/SudartoFarel/status/1905048013204287546","1434170287268892677","SudartoFarel"
"1904947638077943931","Wed Mar 26 17:24:43 +0000 2025","0","Team Garuda isinya oplosan dg meneer minyak Pertamax isinya oplosan dg pertalite minyak goreng kemasan isinya oplosan dg minyak curah ijasah palsu menang pilpres palsu kenapa negeri ini penuh kepalsuan?","1904947638077943931","","","in","","0","0","0","https://x.com/PribadiBales/status/1904947638077943931","1576248663609069568","PribadiBales"
"1904889178124595373","Wed Mar 26 16:14:36 +0000 2025","3","@Hadiwidjaja10 @HumorJonTampan pasti kecepretan pertamax oplosan... si botak ini","1904929990912991363","","Hadiwidjaja10","in","","0","1","1","https://x.com/katrinrienks/status/1904929990912991363","1269299199373217792","katrinrienks"
"1904870613325668707","Wed Mar 26 15:38:33 +0000 2025","0","@mahaecumm @farilong emang haus bgt si ijal ini pgn gw cekokin pertamax oplosan","1904920918608003433","","mahaecumm","in","mahae♥︎nomin","0","0","0","https://x.com/markedbyhae/status/1904920918608003433","1666838118107074560","markedbyhae"
"1904919676393841059","Wed Mar 26 15:33:37 +0000 2025","2","Gua sembur muka lu pake Pertamax oplosan ya sempak","1904919676393841059","","","in","","0","1","1","https://x.com/jayujeyu/status/1904919676393841059","1606811993490751493","jayujeyu"
"1904903113372557633","Wed Mar 26 14:27:48 +0000 2025","9","Diduga Jual Pertamax Oplosan SPBU di Ciceri Berhenti Beroperasi SERANG - Stasiun Pengisian Bahan Bakar Umum (SPBU) Ciceri di Jalan Jendral Soedirman Kota Serang pada Rabu sore terpantau sepi. Layanan SPBU tersebut telah ditutup. Di depan SPBU tersebut juga telah dipasang https://t.co/zeWkzuAm8D","1904903113372557633","https://pbs.twimg.com/ext_tw_video_thumb/1904903025300492288/pu/img/cw1rHv0By2jUdPdz.jpg","","in","negeri bayangan ","1","1","1","https://x.com/bacottetanggaid/status/1904903113372557633","1407985647738966017","bacottetanggaid"
"1904876147420389800","Wed Mar 26 13:52:30 +0000 2025","2","@Tan_Mar3M @andre_rosiade Hanya utk pajangan etalase meniru jurus Pertamina di-list harga ada Pertamax Turbo Pertamax Plus Pertamax Pertalite dll tapi isinya cuma oplosan.","1904894231535378600","","Tan_Mar3M","in","","0","0","0","https://x.com/Om_HME/status/1904894231535378600","1098015609499971584","Om_HME"
"1904890851249267041","Wed Mar 26 13:39:04 +0000 2025","1","Lapor SPT @prastow pertamax oplosan ?","1904890851249267041","","","in","Jakarta Capital Region, Indonesia","0","0","0","https://x.com/Zaindamai/status/1904890851249267041","2857645520","Zaindamai"
"1904534706630385981","Wed Mar 26 13:04:44 +0000 2025","0","@mhuseinali HA HO HA HO PILIH GANJAR GAK AKAN TAU KLO PERTAMAX LU OPLOSAN WKWKW","1904882208479002705","","mhuseinali","in","","0","0","0","https://x.com/YourHeaad/status/1904882208479002705","1266106380672364545","YourHeaad"
"1904435421620449470","Wed Mar 26 12:27:14 +0000 2025","0","@folkshittmedia bikin molotov dari pertamax oplosan","1904872773354479817","","folkshittmedia","in","TESNET","0","0","0","https://x.com/WALL_st_/status/1904872773354479817","1139634674567802880","WALL_st_"
"1904866422926557679","Wed Mar 26 12:02:00 +0000 2025","9","pertamax (no oplosan) https://t.co/aJE170DkGB","1904866422926557679","https://pbs.twimg.com/media/Gm9x6XMagAAjR2J.jpg","","es","밴드는 하나다!","1","0","3","https://x.com/deupororo/status/1904866422926557679","1826013908748087296","deupororo"
"1904767832354939355","Wed Mar 26 11:17:54 +0000 2025","0","@prabowo PERTAMAX rasa PERTALITE alias banyak Oplosan","1904855324063862833","","prabowo","in","","0","0","0","https://x.com/kopitanpagula09/status/1904855324063862833","1603634961755820032","kopitanpagula09"
"1904435421620449470","Wed Mar 26 09:47:17 +0000 2025","0","@folkshittmedia Wkwkkw makan tuh molotov Pertamax oplosan","1904832521868894707","","folkshittmedia","in","","0","0","0","https://x.com/HQQ07625244/status/1904832521868894707","1509332730232066049","HQQ07625244"
"1904829966455554289","Wed Mar 26 09:37:08 +0000 2025","1","Tersangka kasus pertamax oplosan sudah terungkap. Tinggal kasus Khong Guan isi rengginang yang belum terkuak. Sampai sekarang pun tersangka masih jadi misteri. Ada yang tau ? ","1904829966455554289","","","in","Banyuwangi, Indonesia","0","0","0","https://x.com/Mas_AwangN/status/1904829966455554289","724395290485116928","Mas_AwangN"
